date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:22	12294/12294	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2011%20Apr%202023%2017:39:34%20GMT	https://elevateco.my.canva.site/js/9af4249c5fb3d9bb0112c506b0c02b3ba4d10feef761f7dd1f33a94190ea18af.js	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/js/9af4249c5fb3d9bb0112c506b0c02b3ba4d10feef761f7dd1f33a94190ea18af.js	(from https://elevateco.my.canva.site/)
23:09:22	737735/737735	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2011%20Apr%202023%2017:39:33%20GMT	https://elevateco.my.canva.site/images/e1f5fd462267390dff7c7eea05912290.jpg	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/images/e1f5fd462267390dff7c7eea05912290.jpg	(from https://elevateco.my.canva.site/)
23:09:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:37%20GMT	http://elevateco.my.canva.site/js/57c95850434c9961589d6108056c557d3a38f48695fedd00913ec2fce8bb3376.js	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/js/57c95850434c9961589d6108056c557d3a38f48695fedd00913ec2fce8bb3376.js	(from https://elevateco.my.canva.site/)
23:09:24	230/230	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2011%20Apr%202023%2017:39:36%20GMT	https://elevateco.my.canva.site/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	(from https://elevateco.my.canva.site/)
23:09:25	246/246	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2011%20Apr%202023%2017:39:38%20GMT	https://elevateco.my.canva.site/js/57c95850434c9961589d6108056c557d3a38f48695fedd00913ec2fce8bb3376.js	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/js/57c95850434c9961589d6108056c557d3a38f48695fedd00913ec2fce8bb3376.js	(from https://elevateco.my.canva.site/)
23:09:40	19960534/19960534	---MC-	200	added ('OK')	video/mp4	date:Tue,%2011%20Apr%202023%2017:39:26%20GMT	https://elevateco.my.canva.site/videos/433d17d8993ad3a89e3dd297249dcd2e.mp4	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/videos/433d17d8993ad3a89e3dd297249dcd2e.mp4	(from https://elevateco.my.canva.site/)
23:09:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:53%20GMT	http://elevateco.my.canva.site/robots.txt		(from https://elevateco.my.canva.site/)
23:09:42	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Apr%202023%2017:39:55%20GMT	https://elevateco.my.canva.site/_link/?link=https%3A%2F%2Fwww.lonelyplanet.com%2Findia%26target=aetPONYJblMdEicChfm7lx6I5rwfv6L1YRd%2Bh%2FpFwD8TcR2B5f7F%2F6isLdIkLBS0xik7jSUQERwe48vACLUIIaPjhl6eyGPKElFkdZJTMm7eHjVfVO2kUVONYA%3D%3D%26iv=kOyUC3OUQIgZoIza	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/_link/indexfe0b.html	(from http://elevateco.my.canva.site/_link/?link=https%3A%2F%2Fwww.lonelyplanet.com%2Findia&target=aetPONYJblMdEicChfm7lx6I5rwfv6L1YRd%2Bh%2FpFwD8TcR2B5f7F%2F6isLdIkLBS0xik7jSUQERwe48vACLUIIaPjhl6eyGPKElFkdZJTMm7eHjVfVO2kUVONYA%3D%3D&iv=kOyUC3OUQIgZoIza)
23:09:42	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Apr%202023%2017:39:55%20GMT	https://elevateco.my.canva.site/_link/?link=https%3A%2F%2Fwww.lonelyplanet.com%2Findia%26target=e6FtvHwnMp80sWMs8jKe046TbOIZ24BbecsTgAPM4EClHHErfCl9QVyEulrnHPDek6%2Fe4fT7WctH%2Ff%2Fej9sdH6mMiUJsiTEgwnLu7nB%2B1k7PM64ISXiPxajEyA%3D%3D%26iv=aRLEs6ibOeDZPWfx	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/_link/index7f19.html	(from http://elevateco.my.canva.site/_link/?link=https%3A%2F%2Fwww.lonelyplanet.com%2Findia&target=e6FtvHwnMp80sWMs8jKe046TbOIZ24BbecsTgAPM4EClHHErfCl9QVyEulrnHPDek6%2Fe4fT7WctH%2Ff%2Fej9sdH6mMiUJsiTEgwnLu7nB%2B1k7PM64ISXiPxajEyA%3D%3D&iv=aRLEs6ibOeDZPWfx)
23:09:42	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Apr%202023%2017:39:55%20GMT	https://elevateco.my.canva.site/_link/?link=https%3A%2F%2Fwww.lonelyplanet.com%2Fbest-in-travel%26target=8lW1FdYc3%2B6VTy1rKJ8ABj%2FazNdwhsbHDp%2Bn414MiGt%2BFda2gL%2Fd7LlOwMUVIsFYK4c2V5HlzwV0CilWSaxRfxZqVc5Wpa%2BraT62CSy48WPHuFGXtC4Laz5Xj0Six0%2F%2FwaHmyA%3D%3D%26iv=VX%2FQdSsme8RnlUwX	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/_link/index4c1f.html	(from http://elevateco.my.canva.site/_link/?link=https%3A%2F%2Fwww.lonelyplanet.com%2Fbest-in-travel&target=8lW1FdYc3%2B6VTy1rKJ8ABj%2FazNdwhsbHDp%2Bn414MiGt%2BFda2gL%2Fd7LlOwMUVIsFYK4c2V5HlzwV0CilWSaxRfxZqVc5Wpa%2BraT62CSy48WPHuFGXtC4Laz5Xj0Six0%2F%2FwaHmyA%3D%3D&iv=VX%2FQdSsme8RnlUwX)
